experiment,setting,method,accuracy,precision,recall,f1,roc_auc,pr_auc
final_promoter_k6_len200,"k=6, 200 bp",k-mer LR,0.7876817792985458,0.7636819821232554,0.8331907613344739,0.796923580428735,0.8804257987751736,0.8889148046466349
final_promoter_k6_len200,"k=6, 200 bp",DNABERT random,0.816852010265184,0.7737215489210759,0.8956372968349017,0.8302275790976131,0.911803995577219,0.9135821881493048
final_promoter_k6_len200,"k=6, 200 bp",DNABERT pretrained,0.8206159110350727,0.7746189917936694,0.9043627031650984,0.8344778593417004,0.9206258191182098,0.9229825368754526
final_promoter_k6_len300,"k=6, 300 bp",k-mer LR,0.793327630453379,0.7634045168228607,0.8501283147989734,0.8044358102638821,0.8853998614039184,0.8931261522381272
final_promoter_k6_len300,"k=6, 300 bp",DNABERT random,0.804961505560308,0.7485706317110584,0.9183917878528657,0.8248309772587584,0.9117807254853607,0.9133740914139913
final_promoter_k6_len300,"k=6, 300 bp",DNABERT pretrained,0.8202737382378101,0.769120184013801,0.9153122326775022,0.8358721974845715,0.9226743775067487,0.9252192246842361
final_promoter_k5_len200,"k=5, 200 bp",k-mer LR,0.8255774165953806,0.79734375,0.8730538922155688,0.8334830543078808,0.9144482244114972,0.917650844091412
final_promoter_k5_len200,"k=5, 200 bp",DNABERT random,0.8105218135158255,0.7560665914221218,0.9168520102651839,0.8287326992963735,0.9154464967169413,0.9188037905558775
final_promoter_k5_len200,"k=5, 200 bp",DNABERT pretrained,0.8223267750213858,0.7865835108001217,0.8846877673224979,0.8327562605684837,0.9178492873717309,0.9205848058535873
promoter_large_more_data,"k=6, 200 bp, 50k pretrain",k-mer LR,0.7876817792985458,0.7636819821232554,0.8331907613344739,0.796923580428735,0.8804257987751736,0.8889148046466349
promoter_large_more_data,"k=6, 200 bp, 50k pretrain",DNABERT random,0.816852010265184,0.7737215489210759,0.8956372968349017,0.8302275790976131,0.911803995577219,0.9135821881493048
promoter_large_more_data,"k=6, 200 bp, 50k pretrain",DNABERT pretrained,0.8162532078699744,0.7694213671476461,0.9031650983746792,0.8309460097591689,0.9178982570115787,0.9198330612737609
